,title,popularity,vote_count,id,vote_average,release_date,genre_ids
15,Treasure Planet,25.541999999999998,2370,9016,7.4,2002-11-26,"[12, 16, 10751, 14, 878]"
16,10 Cloverfield Lane,27.59,5214,333371,6.9,2016-03-10,"[18, 27, 878, 53]"
17,Race to Witch Mountain,14.856,1018,13836,5.6,2009-03-12,"[28, 12, 14, 878, 53, 10751]"
18,Planet 51,12.92,1265,16866,5.7,2009-11-19,"[878, 10751, 35, 12, 16]"
19,The Hitchhiker's Guide to the Galaxy,21.43,2642,7453,6.7,2005-04-28,"[12, 35, 10751, 878]"
0,Chappie,37.968,5534,198184,6.7,2015-03-04,"[28, 80, 878]"
1,The Tuxedo,15.189,1111,10771,5.6,2002-09-27,"[28, 35, 878, 53]"
2,The Cell,19.581,875,8843,6.2,2000-08-17,"[27, 878, 53]"
3,Transcendence,14.527,3903,157353,6.0,2014-04-16,"[18, 9648, 878, 53]"
4,Resident Evil,20.228,3952,1576,6.5,2002-03-15,"[28, 27, 878]"
5,The Stepford Wives,9.342,768,9890,5.6,2004-06-10,"[35, 878]"
6,Journey to the Center of the Earth,19.307,3110,88751,5.9,2008-07-10,"[28, 12, 35, 878, 10751]"
7,Life,24.486,4819,395992,6.4,2017-03-22,"[27, 878, 53]"
8,Where the Wild Things Are,12.585,1119,16523,6.4,2009-10-16,"[14, 878, 10751]"
9,Evolution,20.441,1298,9397,5.9,2001-06-08,"[35, 878]"
10,Riddick,16.691,2766,87421,6.2,2013-09-02,"[28, 878, 53]"
11,Paul,17.515,3452,39513,6.5,2011-02-14,"[12, 35, 878]"
12,The 6th Day,17.636,1160,8452,5.9,2000-11-17,"[9648, 878, 28]"
13,The Butterfly Effect,24.732,4528,1954,7.5,2004-01-22,"[878, 53]"
14,Paycheck,14.227,1070,9620,6.1,2003-12-25,"[28, 12, 9648, 878, 53]"
15,Underworld: Rise of the Lycans,18.992,2414,12437,6.4,2009-01-22,"[28, 12, 14, 878, 53]"
16,The Purge,33.038000000000004,5593,158015,6.2,2013-05-31,"[27, 878, 53]"
17,Final Fantasy: The Spirits Within,17.791,872,2114,6.1,2001-07-02,"[28, 12, 16, 14, 878, 53]"
18,28 Days Later,23.377,3875,170,7.2,2002-10-31,"[27, 878, 53]"
19,Jimmy Neutron: Boy Genius,14.475,506,12589,5.6,2001-12-21,"[28, 12, 16, 35, 10751, 14, 878]"
0,Next,19.980999999999998,1810,1738,5.9,2007-04-24,"[28, 878, 53]"
1,Escape from Planet Earth,11.797,506,68179,5.8,2013-02-14,"[12, 16, 35, 878, 10751]"
2,The Core,15.960999999999999,965,9341,5.6,2003-03-28,"[28, 53, 12, 878]"
3,Death Race,24.087,2343,10483,6.1,2008-08-22,"[28, 878, 53]"
4,"Dude, Where's My Car?",15.122,1100,8859,5.4,2000-12-15,"[35, 878]"
5,The One,14.694,842,10796,5.9,2001-11-02,"[28, 878, 53]"
6,Eternal Sunshine of the Spotless Mind,30.393,8993,38,8.1,2004-03-19,"[878, 18, 10749]"
7,Babylon A.D.,18.887,1256,9381,5.5,2008-08-20,"[28, 12, 878, 53]"
8,Children of Men,22.892,4255,9693,7.6,2006-09-22,"[28, 18, 878, 53]"
9,The Adventures of Sharkboy and Lavagirl,19.993,805,14199,4.8,2005-06-10,"[12, 878, 10751]"
10,Land of the Lost,11.587,751,18162,5.4,2009-06-05,"[12, 35, 878, 10751]"
11,The X Files: I Want to Believe,10.77,899,8836,5.6,2008-07-24,"[18, 9648, 878, 53]"
12,Star Wars: The Clone Wars,15.714,1001,12180,5.9,2008-08-05,"[28, 12, 16, 878]"
13,The Watch,11.97,1525,80035,5.4,2012-07-26,"[28, 35, 878]"
14,Frequency,17.703,965,10559,7.2,2000-04-28,"[80, 18, 878, 53]"
15,Star Trek: Nemesis,16.597,807,201,6.2,2002-12-13,"[28, 12, 878, 53]"
16,The Giver,21.156999999999996,3422,227156,6.5,2014-08-11,"[18, 878]"
17,Skyline,13.302999999999999,955,42684,4.8,2010-11-11,"[878, 28]"
18,Space Chimps,10.807,274,11802,4.9,2008-07-17,"[12, 16, 35, 878, 10751]"
19,The Darkest Hour,14.360999999999999,832,71469,5.0,2011-12-22,"[28, 27, 878, 53]"
0,Hot Tub Time Machine,20.28,1572,23048,6.0,2010-03-26,"[12, 35, 878]"
1,Monster Trucks,15.175999999999998,501,262841,6.0,2016-12-26,"[28, 35, 878]"
2,Zathura: A Space Adventure,12.403,1961,6795,6.3,2005-11-06,"[10751, 14, 878, 12, 35]"
3,28 Weeks Later,25.013,2496,1562,6.5,2007-04-26,"[27, 878, 53]"
4,The Lazarus Effect,11.852,930,243940,5.2,2015-01-29,"[27, 9648, 878, 53]"
5,The Host,13.322,3085,72710,6.3,2013-03-22,"[28, 12, 878, 53, 10749]"
6,My Super Ex-Girlfriend,9.196,901,4474,4.9,2006-06-20,"[28, 35, 80, 18, 14, 878]"
7,Mission to Mars,14.903,783,2067,5.9,2000-03-10,[878]
